Word,PartsOfSpeech,Synonyms,Usage,Antonyms,RelatedPartsOfSpeech,
discredit,v.,defame; destroy confidence in; disbelieve,,,,
discrepancy,n.,lack of consistency; inconsistency; difference,,,,
discrete,adj.,separate; unconnected; consisting of distinct parts,,,,
discriminating,adj.,judicious; discerning; prejudiced,,,,
disingenuous,adj.,lacking genuine candor;lacking frankness,,,,
disinterested,adj.,objective; unbiased; unprejudiced; not invested in outcome,,,,
disjointed,adj.,lacking coherence; separated at the joints,,,,
dismiss,v.,reject; eliminate from consideration,,,,
disparage,v.,to belittle,Do not disparage children as it affects their confidence.,,,
disparate,adj.,dissimilar in such an extent that can not compare; unrelated,,,,
dispassionate,adj.,impartial; cool; calm,,,,
disperse,v.,scatter widely,,,,
disposition,n.,person's general/natural mood,,,,
disquieting,adj.,disturbing; causing anxiety,,,,
disregard,v.,to ignore; to pay no attention to,,,,
dissemble,v.,to mislead; to conceal truth or motive; disguise; pretend,,,,
disseminate,v.,to spread widely; distribute; scatter; broadcast,,,,
dissolution,n.,disintegration; looseness in morals,,,,
dissonance,n.,a clash between two elements; discordant,,,,
distill,v.,purify; extract the essential elements of,,,,
diverge,v.,to split apart,,,,
divest,,strip; deprive,He was divested of his governance power,,,
dogma,n.,the official beliefs or tenets of particular section or group; opinionated; arbitrary; doctrinal; peremptory ; assertive; insistent; domineering; imperious,,,dogmatic (adj.),
droll,,queer; amusing;,His droll anecdotes (short stories) made him popular amongst the students.,,,
dubious,,questionable; filled with doubt,,,,
dupe,v,to deceive; to fool,Made a dupe by unscrupulous party,,,
ebb,,lessen; recede,Tides ebb and waters receded,,,
ebullient,adj.,cheerful; enthusiastic; excited; showing excitement,,,,
eccentric,adj.,quirky or unusual; irregular; odd; whimsical; peculiar,,,,
eclectic,,selective; composed of elements drawn from disparate sources,,,,
eclectic,adj.,"composed of a variety of styles, themes, motifs; selective",,,,
eclipse,,obscuring one thing by another,,,,
ecstatic,,feeling overwhelming happiness; elated; joyful; euphoric,,,,
ecuse,,justify; defend,,,,
efficacy,n.,effectiveness; power to produce desired effect,The efficacy of a drug depends on the regularity of the dosage.,,,
effrontery,,shamelessly bold; sheer nerve; impudence; impertinence; cheek; insolence,"When getting fired, Frank had effrontery to ask for a letter of recommendation.",,,
elegy,n.,sad poem or song often in remembrance of someone deceased,,,elegical (adj.),
elicit,v.,to provoke a response; draw out by discussion,The detective tried to elicit where the accused hide the dead body.,,,
eloquence,adj.,persuasive and articulate speech; expressiveness,,,,
elucidate,v,explain; enlighten,He was called upon to elucidate disputed points in his article.,,,
elucidation,n.,explanation; clarification; illumination; commentary; interpretation,Research led to the elucidation of the structure of proteins,,,
elusive,,Difficult to find or catch or archieve,,,,
embark,,go onboard; aboat,,,,
embellish,v,adorn; ornament; enhance as a story,Designer embellished the gown with tons of ribbon and laces,,,
eminent,adj.,well-known; respected; distinguished; high; lofty; ,,,eminence (n.),
empirical,adj.,based on evidence; based on experience,,,,
emulate,v.,to imitate or attempt to equal in accomplishment,,,,
emulated (by),,copied; imitated,,,,
encomium,,high praise; eulogy,"Uneasy with such encomiums by his fan, rockstar declared himself unworthy of such praise.",,,
endemic,,prevailing among a specific group of people or in specific area of country,The disease is endemic in Vietnam.,,,
enervate,v.,to exhaust or drain of energy,,,,
engender,v,to produce; to cause; to give rise to,Praise for good work engenders confidence in people as it helps to develop self-efficacy,,,
engima,,mystery; puzzle; paradox,What women want is enigma to most men,,,
enhance,v.,intensify; increase; augment,,,,
entails,v.,require; necessiate; involve,,,,
entitlement,n.,belief that one deserves things one has not earned; right or privilege to do something; the rights one is afforded under the law; perogative,,,,
ephemeral,adj.,short-lived or transient; fleeting,,,,
equable,adj.,even-tempered; not given to much change or variation,,,,
equinimity,,calmness of terperament; composure,,,,
equitable,,fair; equal,,,,
equivocate/ equivocal,v.,to lie; to mislead; to use ambiguous language in order to mislead or deceive; disputable; dubious; questionable; ambiguous,,,,
erratic,,inconsistent; wandering; having no fixed course,,,,
erroneous,adj.,incorrect; mistaken; attempt to conceal the truth; wrong; morally incorrect,,,,
erudite,adj.,learned; scholarly; knowledgable,,,,
eschew,v.,avoid or abstain from; shun; avoid; abstain from; evade,,,,
esoteric,adj.,obscure; arcane;hard to understand; known only to the chosen few,,,,
estimable,adj.,deserving respect; esteem; admiration,,,,
estrangement,,alienation; antagonism (hostility); antipathy; animus,,,,
eulogy,n.,memorial speech (given at funeral) for one who has passed; expression of praise; tribute,,,,
eupheism,,mild expression in place of an unpleasant one,,,,
euphoric,,elated; happy; joyful; joyous; delighted; gleeful; excited,,,,
evasiveness,,intentionally vague or ambiguous; equivocation; prevarication,,,,
exacerbate,v.,to make worse; embitter; more violent; severe,,,,
exacting,adj.,challenging; demanding; grueling; very severe in making demands,,,,
exalt,,glorify; extol; praise; acclaim,,,,
exculpate,v.,to exonerate; to vindicate; to clear from blame,,,,
exhaustive,,comprehensive; thorough; accounting for all possibilities,,,,
exigent/exigency,adj.,urgent or pressing; emergency,,,,
exonerate,v.,to clear of charges of wrongdoing; acquit; exculpate,,,,
expatiate,v.,to elaborate on something in great detail; talk in length,,,,
explicate,v.,to explain in detail; interpret; clarify,,,,
explicit,,direct; clear; fully revealed,,,,
exponent,,person who expounds or explains; advocate; representative,,,,
exposition,,comprehensive description of an idea; explanation; elucidation; explanation,,,,
exposition,n.,a thorough explanation; public show or fair; expository; explanatory,,,,
extol,,praise enthusiastically,,,,
extraneous,adj.,irrelevant; superfluous; not essential; foreign,,,,
extrapolate,v.,to estimate or conjecture about the future based on available information,,,,
exuberance,,quality of being full of energy; ebullience; buoyancy; cheerfulness; ,,,,
facetious,adj.,glib; flippant; joking inappropriately; humorous,,,,
facilitate,v.,to make something easier or simpler; help bring about; make less difficult,,,,
fallacious,adj.,relying on a fallacy and thus incorrect/misinformed; false; misleading,,,,
fanatic,,extremely devoted; enthusiastic; zealous in uncritical way,,,,
fanciful,,whimsical;capricious;imaginary,,,,
fastidious,adj.,meticulous; scrupulous; punctilious; painstaking; assiduous,She dressed with fastidious care,,,
fathom,,understand; comprehend; measure the depth (of water); penetrate the meaning; discover the meaning,,,,
fatuous,,brainless; inane; foolish,a fatuous comment,,,
fawning,,trying to please by flattery; displaying exaggerated flattery or affection ; obsequious,fawning adoration,,,
feasible,,possible; logical; likely; cringing,,,,
feign,,pretend; fake; sham; simulate,she feigned nervousness,,,
felicitous,,apt; suitably expressed,,,,
fervid,,enthusiastic; passionate; fervent; ardent; vehement ,,,,
fervor,,growing ardor; intensity of feeling; ardent; avid; avidity; fervent; fervid; vehement,"At protest rally, the students cheered the strikers and booed the dean with equal fervor",,,
festering,,forming pus; septic,,,,
fidelity,,faithful; loyalty; strict observance of duty,,,,
figurative,,metaphorical; based on figures of speech,,,,
finesse,,extreme delicacy; subtlety or diplomacy in handling sensitive situation,,,,
flaccid,,soft; loose; flabby,,,,
flag,,droop; grow feeble,,,,
flag,,get tired; lose enthusiasm,,,,
fledgling,,inexperienced; arising; emerging,,,,
fleeting,,passing quickly; transitory,,,,
flout,,reject; mock,,,,
fluctuate,v.,to shift without apparent pattern; waver; shift,,,,
foment,v.,to foster unrest or discontent; stir up; instigate; incite,,,,
foreground,,forefront; front,,,,
foreshadow,,indicate; suggest beforehand; presage,,,,
foresight,,ability to see the future,,,,
forestall,v.,proactive; to hold off or try to prevent; prevent by taking action in advance,,,,
forestall(ed),,preempt (ed); prevent(ed) by taking action ahead of time,,,,
forfeit,,surrender; lose as a result of an error or crime; failure to fulfil an obligation,,,,
forgo,v,omit/decline to take (something); go without,,,,
fortify,,strengthen; invigorate; encourage,,,,
fortuitous,adj.,fortunate; fluke; lucky; accidental; by chance,,,,
fringe,,on the periphery; margin; group holding extreme views,,,,
frivolity,n.,"lacking seriousness; levity; joking; jocularity; gaiety; fun
",,,frivolous (adj.),
frugal,adj.,economical; not wasteful with money; inexpensive; thrifty,,,,
fugitive,n,"a person who has escaped from captivity or is in hiding;  escapee; escaper; runaway; deserter; refugee; renegade
",,,,
fugitive,adj,"fleeting; transitory; quick to disappear; transient; transitory; ephemeral; evanescent
",the fugitive effects of light,,,
futile,,useless; hopeless; ineffectual,It is futile for me to try to get anything done around here.,,,
futile,,ineffective; producing no useful result; trivial; unimportant,,,,
gainsay,v.,deny; oppose; declare false,,,,
galvanize,v.,to prod someone into action,,,,
garrulous,adj.,talkative; loquacious; wordy; rambling,,,,
gauche,adj.,socially inept; tactless; inappropriate; awkward; clumsy; coarse; uncouth,,,,
gawky,,physically awkward,,,,
germane,adj.,relevant to the matter at hand; appropriate; pertinent; suitable; to the point,,,,
gist,,main idea,,,,
gleaming,,"(of a smooth surface) reflecting light, typically because very clean or polished",,,,
glib,adj.,treating serious issues with deliberately inappropriate humour; talking volubly but carelessly or insincerely; facetious; flippant; flip; glib; frivolous,,,,
goad,,urge on,,,,
gradation,,progression,,,,
grandiloquent,,pompous; bombastic,,,,
gregarious,adj.,sociable; genial,Party-throwers are gregarious,,,
guile,n.,craftiness; deceit; duplicity; wiliness; shrewdness; cunning,,guileless,,
gullible,,easily persuaded; easily deceived,,,,
hackneyed,adj.,cliche; trite; banal,,,,
harangue,n.,forceful verbal attack; diatribe; rant; long aggressive speech,,,,
harbinger,,herald; sign; indicator,,,,
haven,,harbor; port,,,,
hearken,,listen; pay attention to,,,,
hedonism,n.,the pursuit of pleasure,,,,
heed,,pay attention to;,,heedless; disregarding; not noticing,,
hierarchical,adj.,arranged in rank order or hierarchy,,,,
hinderance,,encumbrance; any obstruction that impedes,,,,
homogenous,adj.,uniform; identical; the same kind,,,,
hortatory,,encouraging; exhortive; adjuring,,,,
humdrum,,dull; monotonous,,,,
hyperbole,n.,obvious exaggeration for effect; overstatement; deliberate,,,,
iconoclast,n.,a person who attacks traditional religious and cultural institutions,,,,
ideological,adj.,relating to a particular belief system or theory,,,,
ideologue,,an adherent of an ideology,,,,
idiosyncrasy,,peculiar characteristic; peculiar habit; quirk,,,,
illiberality,,narrow mindedness; bigotry,,,,
imminent,adj.,about to happen; impending; near at hand,,,,
immured (in),,confined; locked up,,,,
immutable,adj.,unchangeable,,,,
impair,v.,to hinder or weaken someone or something; injure; hurt; make worse,,,,
impartial,,unbiased; fair,,,,
impecunious,,poor; without money; penniless; penurious,,,,
impede,,hold back; obstruct the progress of,,,,
impediment,n.,barrier; hinder; hindrance; block; obstruction,,,,
impenetrable,,impossible to pass or enter; impassable; unpassable,A dark impenetrable forest,,,
imperative,,absolute necessary,,,,
impermeable,,not allowing fluid to pass through; impenetrable; incapable of being damaged or distressed,,,,
imperturbable,adj.,remaining calm under any circumstance; placid,,,,
implacable,adj.,unforgiving; relentless; incapable of being pacified; unable to be appeased or placated;unappeasable; unpacifiable; unplacatable;unmollifiable,North Korea was an implacable enemy of South Korea.,,,
implausible,,unlikely; unbelievable,,,,
implicit,adj.,implied; insinuated without being directly stated; understood but not stated,,,,
implode,,burst inward,"If you break a vacuumtube, the glasstube implodes",,,
imprudence,n.,bad judgment; lacking caution,,,,
impudent,adj.,disrespectful; impertinence; insolence,,,,
impugn,v.,challenge; question; dispute; query,,,,
inadvertent,adj.,by accident; unintentional; careless; by oversight,,,,
incendiary,,setting on fire; rebellion; arousing strife,,,,
incentive,,something that encourages greater effort,,,,
inchoate,adj.,rudimentary; in the beginning stages; undeveloped; unorganized,,,,
incipient,,just beginning; a very early stage,,,,
inconclusive,adj.,indeterminate; unresolved,,,,
incongruity,,lack of harmony; absurdity,,,,
incongruous,,heterogeneous; out of place; inappropriate; not harmonious,,,,
inconsequential,,insignificant; unimportant; illogical,,,,
incorporate,,combine; unite; form a legal cooperation; embody,,,,
incorporate,,combine; write; introduce,,,,
indebted,,owing money; owing gratitude to someone,,,,
indefatigable,adj.,cannot be made tired,,,,
indeterminate,,vague; not determined; indefinite; uncertain,,,,
indeterminate,,uncertain; not clearly fixed; indefinite,,,,
indict,,charge in court; arraign,,,,
indifferent,,impartial; unbiased; not interested,,,,
indigence/indigent,,poverty,,,,
indolent,adj.,lazy; idle; couch potatoes,,,,
inebriated,,habitually intoxicated; drunk,,,,
infer,v.,to conclude from implicit evidence (as opposed to explicit facts); deduce,,,,
inflict,,wreak,,,,
inform,,inspire; animate; give substance,,,,
ingenuous,adj.,naive; genuine; innocent; unsophisticated; trusting; sincere,,,,
ingrained,,deep rooted,,,,
inherent,,firmly established by nature or habit; intrinsic,,,,
inhibit,,restrain; retard; prevent,,,,
inimical,adj.,harmful; unfriendly; hostile; detrimental,,,,
iniquitous,,wicked; immoral;unrightous,,,,
innate,adj,inborn; natural; inbred; congenital; inherent; intrinsic,,,,
innocuous,adj.,harmless; inoffensive,,,,
inscrutable,adj.,enigmatic; incomprehensible; impenetrable; not readily understood,,,,
insinuate,,hint; imply; creep in,,,,
insipid,adj.,bland; uninspired; inane; lacking taste or flavor,,,,
insolent,,ill mannered; impertinent; impudent; cheeky; showing rude or arrogance ,,,,
insular,adj.,tight-knit and isolated; uninterested in matters outside one's immediate sphere; isolation; narrow-mindedness,,,,
intelligible,,able to understood; clear,,,,
